# Cl, Cd
1.454000000000000015e-01,3.309900000000000342e-02
-9.218999999999999417e-02,3.518500000000000100e-02
3.830299999999999816e-01,3.521400000000000224e-02
6.238000000000000211e-01,4.196099999999999830e-02
8.630499999999999838e-01,5.114300000000000096e-02
1.097720000000000029e+00,6.419199999999999906e-02
1.310820000000000096e+00,8.010599999999999665e-02
1.457570000000000032e+00,9.668300000000000505e-02
1.517840000000000078e+00,1.046129999999999977e-01
1.553420000000000023e+00,1.136400000000000049e-01
1.584370000000000056e+00,1.214250000000000052e-01
1.604519999999999946e+00,1.302590000000000137e-01
1.584549999999999903e+00,1.382319999999999938e-01
